
[2020-11-28 08:21:24] - 2 -  Invalid argument supplied for foreach() - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 20
[2020-11-28 08:23:19] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:19] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:20] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:20] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:21] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:21] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:21] - 8 -  Undefined property: stdClass::$forecast - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:21] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:22] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:23] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:23] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:25] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:25] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:32] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:32] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:32] - 8 -  Undefined property: stdClass::$forecast - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:32] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:33] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:33] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:34] - 8 -  Trying to get property 'forecast' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

[2020-11-28 08:23:34] - 8 -  Trying to get property 'forecastday' of non-object - /home/depruebas/datos/www-root/php-projects/weatherapp/muse-back/ApiManager.php - Linea: 32

